# Picture-tag vocabulary for SigLIP2 sticker tagging.
# Columns (tab-separated): prompt phrase (English, used with the model) | English tags | Hebrew tags.
# Tags are comma-separated and are what search matches. Changing a prompt phrase or the order of
# lines changes the label embeddings: re-run the SigLIP labels workflow and update the pinned hash
# in core/vision/siglip.properties.
#
# Faces and emotions
confetti party popper	party, celebration	מסיבה, חגיגה, קונפטי
a gift box	gift, present	מתנה
a wedding	wedding	חתונה
a bride and groom	bride, groom, wedding	כלה, חתן, חתונה
a wedding ring	ring, engagement	טבעת, אירוסין
a graduation cap	graduation	סיום לימודים, בוגר
a trophy	winner, trophy	גביע, ניצחון, זוכה
a medal	medal, winner	מדליה
a crown	crown, queen, king	כתר, מלכה, מלך
# Hearts and symbols
a red heart	heart, love	לב, אהבה
a broken heart	broken heart, heartbroken	לב שבור
many hearts	hearts, love	לבבות, אהבה
a sparkling star	star, sparkle	כוכב, נצנוץ
fire flames	fire, lit, hot	אש, בוער, לוהט
a hundred points symbol	100, perfect	מאה, מושלם
a check mark	done, yes, check	וי, בוצע, כן
a red X mark	no, wrong	לא, איקס, טעות
a question mark	question, what	סימן שאלה, מה
an exclamation mark	important, alert	סימן קריאה, חשוב
a lightning bolt	lightning, energy	ברק, אנרגיה
a rainbow	rainbow	קשת
the sun	sun, sunny	שמש
the moon and stars	night, moon	לילה, ירח
a cloud with rain	rain, rainy	גשם
snow	snow, winter	שלג, חורף
a flower	flower	פרח
a bouquet of flowers	flowers, bouquet	זר פרחים, פרחים
a rose	rose	ורד
a tree	tree	עץ
a clock	time, clock, late	שעון, זמן, מאחר
an alarm clock	wake up, alarm	שעון מעורר, להתעורר
money	money, cash	כסף, מזומן
a bag of money	rich, money	עשיר, כסף
a light bulb idea	idea	רעיון
a speech bubble	talk, chat	דיבור, צ'אט
musical notes	music	מוזיקה
a microphone	singing, karaoke	מיקרופון, שר, קריוקי
a guitar	guitar	גיטרה
headphones	music, headphones	אוזניות, מוזיקה
a camera	camera, photo	מצלמה, תמונה
a phone	phone	טלפון, פלאפון
a laptop computer	computer, laptop	מחשב
a video game controller	gaming, video games	גיימינג, משחקי מחשב
a television	tv	טלוויזיה
a book	book, reading	ספר, קריאה
a pencil and paper	writing, homework	כתיבה, שיעורי בית
a school	school	בית ספר
a house	home, house	בית
a bed	bed	מיטה
a couch	couch, relax	ספה, רביצה
a bathtub	bath	אמבטיה
a toilet	toilet	שירותים
a car	car, driving	מכונית, אוטו, נהיגה
a bus	bus	אוטובוס
a train	train	רכבת
an airplane	airplane, flight, travel	מטוס, טיסה, חופשה
a bicycle	bicycle, bike	אופניים
a rocket	rocket, launch	טיל, חללית
a beach with palm trees	beach, vacation	חוף, ים, חופשה
the sea	sea, ocean	ים
a swimming pool	pool, swimming	בריכה, שחייה
mountains	mountains	הרים
a tent camping	camping	קמפינג, אוהל
a suitcase	travel, vacation	מזוודה, חופשה, נסיעה
a map	map	מפה
a globe	world	עולם
a soccer ball	soccer, football	כדורגל
a basketball	basketball	כדורסל
a gym workout with weights	gym, workout	חדר כושר, אימון
yoga	yoga	יוגה
a shopping bag	shopping	קניות
a shopping cart	shopping, supermarket	קניות, סופר
a dress	dress, fashion	שמלה, אופנה
shoes	shoes	נעליים
glasses	glasses	משקפיים
makeup lipstick	makeup	איפור, שפתון
a haircut	haircut	תספורת
a toothbrush	brush teeth	מברשת שיניים
a pill medicine	medicine, pills	תרופה, כדורים
a syringe vaccine	vaccine, injection	חיסון, זריקה
a hospital	hospital	בית חולים
a bomb	bomb, explosion	פצצה, פיצוץ
an explosion	boom, explosion	בום, פיצוץ
a gun	gun	אקדח
a sword	sword	חרב
a key	key	מפתח
a lock	locked, secret	מנעול, נעול
a magnifying glass	search, look	זכוכית מגדלת, לחפש
a calendar	calendar, date	לוח שנה, תאריך
a mailbox letter	mail, letter	מכתב, דואר
a bell notification	notification	פעמון, התראה
a trash can	trash, garbage	פח, זבל
a toilet paper roll	toilet paper	נייר טואלט
a candle	candle	נר
a crystal ball	future, magic	כדור בדולח, עתיד
# Meme and chat reactions
a meme with text	meme	מם, ממים
a cartoon character	cartoon	דמות מצוירת, קריקטורה
an anime character	anime	אנימה
a cute chibi character	cute, kawaii	חמוד, קוואי
a photo of a real person's face	person, face	פרצוף, פנים
a famous celebrity	celebrity	סלב, מפורסם
a politician	politician, politics	פוליטיקאי, פוליטיקה
a text sticker with big letters	text	טקסט, כיתוב
a sticker with Hebrew text	hebrew text	כיתוב בעברית
a sticker with English text	english text	כיתוב באנגלית
the word yes	yes	כן
the word no	no	לא
the word OK	ok	אוקיי, בסדר
the word wow	wow	וואו
the word LOL	lol	חחח
a stop sign	stop	עצור, די
a no entry sign	no, forbidden	אסור, אין כניסה
a warning sign	warning, careful	אזהרה, זהירות
a loading spinner	loading, waiting	טוען, מחכה
a dancing character	dance, happy	ריקוד, רוקד
a character running away	run away, escape	בורח, בריחה
a character hiding under a blanket	hiding, shy	מתחבא, מתכרבל
a character with a heart	love, heart	אהבה, לב
a character giving flowers	flowers, gift, love	פרחים, מתנה
a character drinking coffee	coffee, morning	קפה, בוקר
a character sleeping	sleeping, good night	ישן, לילה טוב
a character crying	crying	בוכה
a character laughing	laughing	צוחק
a character angry	angry	כועס
a character waving	hello, bye	שלום, ביי
a character with thumbs up	like, ok	לייק, אחלה
a character celebrating	celebrate	חוגג
a character eating	eating	אוכל
a character working	working	עובד
a character thinking	thinking	חושב
a character shocked	shocked	בהלם
a character facepalming	facepalm	פייספאלם
a character hugging	hug	חיבוק
a character kissing	kiss	נשיקה
a character sad	sad	עצוב
a character tired	tired	עייף
a character sick	sick	חולה
a character cold	cold	קר
a character hot	hot	חם
